Openissues: 1976
Closedissues 2324
{comments=7, state=closed, durationTime=6 Days 5 Hours 20 Minutes 59 Seconds}
{comments=7, state=closed, durationTime=82 Days 7 Hours 24 Minutes 52 Seconds}
{comments=7, state=closed, durationTime=177 Days 0 Hours 35 Minutes 33 Seconds}
{comments=7, state=closed, durationTime=215 Days 20 Hours 2 Minutes 8 Seconds}
{comments=7, state=closed, durationTime=263 Days 13 Hours 11 Minutes 8 Seconds}
{comments=7, state=closed, durationTime=431 Days 5 Hours 32 Minutes 42 Seconds}
{comments=7, state=closed, durationTime=35 Days 11 Hours 9 Minutes 22 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=24 Days 12 Hours 51 Minutes 54 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=12 Days 2 Hours 35 Minutes 23 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 7 Hours 3 Minutes 12 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=5 Days 5 Hours 7 Minutes 5 Seconds}
{comments=6, state=closed, durationTime=11 Days 7 Hours 39 Minutes 50 Seconds}
{comments=6, state=closed, durationTime=2 Days 15 Hours 55 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=2 Days 23 Hours 37 Minutes 18 Seconds}
{comments=6, state=closed, durationTime=3 Days 15 Hours 35 Minutes 15 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=30 Days 0 Hours 38 Minutes 49 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 20 Hours 32 Minutes 42 Seconds}
{comments=6, state=closed, durationTime=31 Days 2 Hours 54 Minutes 54 Seconds}
{comments=6, state=closed, durationTime=283 Days 12 Hours 21 Minutes 42 Seconds}
{comments=6, state=closed, durationTime=3 Days 16 Hours 29 Minutes 5 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=22 Days 3 Hours 4 Minutes 53 Seconds}
