Openissues: 298
Closedissues 1502
{comments=4, state=closed, durationTime=7 Days 0 Hours 35 Minutes 58 Seconds}
{comments=4, state=closed, durationTime=0 Days 4 Hours 55 Minutes 9 Seconds}
{comments=4, state=closed, durationTime=1 Days 0 Hours 22 Minutes 47 Seconds}
{comments=4, state=closed, durationTime=0 Days 0 Hours 57 Minutes 24 Seconds}
{comments=4, state=closed, durationTime=35 Days 3 Hours 31 Minutes 10 Seconds}
{comments=4, state=closed, durationTime=19 Days 1 Hours 15 Minutes 58 Seconds}
{comments=4, state=closed, durationTime=6 Days 23 Hours 26 Minutes 25 Seconds}
{comments=4, state=closed, durationTime=6 Days 5 Hours 8 Minutes 20 Seconds}
{comments=4, state=closed, durationTime=9 Days 4 Hours 35 Minutes 1 Seconds}
{comments=4, state=closed, durationTime=4 Days 22 Hours 28 Minutes 54 Seconds}
{comments=4, state=closed, durationTime=0 Days 20 Hours 2 Minutes 28 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=0 Days 10 Hours 9 Minutes 3 Seconds}
{comments=4, state=closed, durationTime=8 Days 0 Hours 39 Minutes 42 Seconds}
{comments=4, state=closed, durationTime=4 Days 13 Hours 45 Minutes 38 Seconds}
{comments=4, state=closed, durationTime=7 Days 1 Hours 27 Minutes 30 Seconds}
{comments=4, state=closed, durationTime=1 Days 3 Hours 13 Minutes 11 Seconds}
{comments=4, state=closed, durationTime=310 Days 1 Hours 57 Minutes 57 Seconds}
{comments=4, state=closed, durationTime=5 Days 5 Hours 49 Minutes 28 Seconds}
{comments=4, state=closed, durationTime=14 Days 19 Hours 9 Minutes 55 Seconds}
{comments=4, state=closed, durationTime=0 Days 4 Hours 23 Minutes 34 Seconds}
{comments=4, state=closed, durationTime=363 Days 8 Hours 18 Minutes 41 Seconds}
{comments=4, state=closed, durationTime=36 Days 8 Hours 48 Minutes 8 Seconds}
{comments=4, state=closed, durationTime=1 Days 15 Hours 9 Minutes 40 Seconds}
{comments=4, state=closed, durationTime=149 Days 2 Hours 3 Minutes 20 Seconds}
{comments=4, state=closed, durationTime=4 Days 17 Hours 41 Minutes 36 Seconds}
{comments=4, state=closed, durationTime=112 Days 0 Hours 56 Minutes 57 Seconds}
{comments=4, state=closed, durationTime=6 Days 16 Hours 29 Minutes 47 Seconds}
{comments=4, state=closed, durationTime=3 Days 4 Hours 49 Minutes 5 Seconds}
{comments=4, state=closed, durationTime=2 Days 22 Hours 26 Minutes 44 Seconds}
{comments=4, state=closed, durationTime=7 Days 20 Hours 13 Minutes 42 Seconds}
{comments=4, state=closed, durationTime=3 Days 5 Hours 11 Minutes 40 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=17 Days 23 Hours 20 Minutes 17 Seconds}
{comments=4, state=closed, durationTime=7 Days 19 Hours 48 Minutes 53 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=14 Days 16 Hours 17 Minutes 1 Seconds}
{comments=4, state=closed, durationTime=1 Days 4 Hours 51 Minutes 26 Seconds}
{comments=4, state=closed, durationTime=60 Days 13 Hours 6 Minutes 26 Seconds}
{comments=4, state=closed, durationTime=1 Days 4 Hours 46 Minutes 48 Seconds}
{comments=4, state=closed, durationTime=7 Days 21 Hours 8 Minutes 19 Seconds}
{comments=4, state=closed, durationTime=251 Days 5 Hours 2 Minutes 13 Seconds}
{comments=4, state=closed, durationTime=0 Days 5 Hours 14 Minutes 15 Seconds}
{comments=4, state=closed, durationTime=11 Days 3 Hours 29 Minutes 54 Seconds}
{comments=4, state=closed, durationTime=26 Days 19 Hours 9 Minutes 0 Seconds}
{comments=4, state=closed, durationTime=0 Days 16 Hours 19 Minutes 15 Seconds}
{comments=4, state=closed, durationTime=2 Days 2 Hours 50 Minutes 36 Seconds}
{comments=4, state=closed, durationTime=311 Days 1 Hours 28 Minutes 12 Seconds}
{comments=4, state=closed, durationTime=0 Days 3 Hours 0 Minutes 58 Seconds}
{comments=4, state=closed, durationTime=176 Days 3 Hours 40 Minutes 53 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=9 Days 6 Hours 1 Minutes 10 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=65 Days 1 Hours 43 Minutes 11 Seconds}
{comments=4, state=closed, durationTime=264 Days 0 Hours 40 Minutes 20 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=1 Days 9 Hours 10 Minutes 44 Seconds}
{comments=4, state=closed, durationTime=2 Days 20 Hours 12 Minutes 35 Seconds}
{comments=4, state=open, durationTime=No}
{comments=4, state=closed, durationTime=7 Days 16 Hours 55 Minutes 48 Seconds}
{comments=4, state=closed, durationTime=4 Days 19 Hours 15 Minutes 25 Seconds}
{comments=4, state=closed, durationTime=17 Days 0 Hours 50 Minutes 10 Seconds}
{comments=4, state=closed, durationTime=0 Days 0 Hours 45 Minutes 29 Seconds}
{comments=4, state=closed, durationTime=8 Days 4 Hours 11 Minutes 5 Seconds}
{comments=3, state=closed, durationTime=2 Days 1 Hours 15 Minutes 32 Seconds}
{comments=3, state=closed, durationTime=1 Days 10 Hours 34 Minutes 43 Seconds}
{comments=3, state=closed, durationTime=9 Days 19 Hours 21 Minutes 11 Seconds}
{comments=3, state=closed, durationTime=1 Days 0 Hours 4 Minutes 42 Seconds}
{comments=3, state=closed, durationTime=15 Days 17 Hours 2 Minutes 11 Seconds}
{comments=3, state=closed, durationTime=5 Days 18 Hours 7 Minutes 14 Seconds}
{comments=3, state=closed, durationTime=20 Days 19 Hours 37 Minutes 52 Seconds}
{comments=3, state=closed, durationTime=0 Days 21 Hours 56 Minutes 36 Seconds}
{comments=3, state=closed, durationTime=26 Days 3 Hours 23 Minutes 55 Seconds}
{comments=3, state=closed, durationTime=27 Days 23 Hours 37 Minutes 38 Seconds}
{comments=3, state=closed, durationTime=27 Days 23 Hours 37 Minutes 30 Seconds}
{comments=3, state=closed, durationTime=27 Days 23 Hours 37 Minutes 19 Seconds}
{comments=3, state=closed, durationTime=27 Days 23 Hours 37 Minutes 4 Seconds}
{comments=3, state=closed, durationTime=3 Days 20 Hours 14 Minutes 40 Seconds}
{comments=3, state=closed, durationTime=0 Days 23 Hours 13 Minutes 24 Seconds}
{comments=3, state=closed, durationTime=1 Days 1 Hours 11 Minutes 44 Seconds}
{comments=3, state=open, durationTime=No}
{comments=3, state=closed, durationTime=1 Days 17 Hours 17 Minutes 0 Seconds}
{comments=3, state=closed, durationTime=0 Days 16 Hours 45 Minutes 13 Seconds}
{comments=3, state=closed, durationTime=0 Days 2 Hours 20 Minutes 46 Seconds}
{comments=3, state=closed, durationTime=4 Days 12 Hours 40 Minutes 51 Seconds}
{comments=3, state=open, durationTime=No}
{comments=3, state=closed, durationTime=2 Days 18 Hours 4 Minutes 7 Seconds}
{comments=3, state=closed, durationTime=0 Days 12 Hours 22 Minutes 56 Seconds}
{comments=3, state=closed, durationTime=18 Days 23 Hours 56 Minutes 10 Seconds}
{comments=3, state=closed, durationTime=8 Days 5 Hours 55 Minutes 25 Seconds}
{comments=3, state=closed, durationTime=1 Days 13 Hours 45 Minutes 2 Seconds}
{comments=3, state=closed, durationTime=0 Days 6 Hours 11 Minutes 23 Seconds}
{comments=3, state=closed, durationTime=7 Days 9 Hours 58 Minutes 30 Seconds}
{comments=3, state=open, durationTime=No}
{comments=3, state=closed, durationTime=100 Days 2 Hours 31 Minutes 7 Seconds}
{comments=3, state=closed, durationTime=1 Days 21 Hours 16 Minutes 14 Seconds}
{comments=3, state=closed, durationTime=5 Days 1 Hours 39 Minutes 46 Seconds}
{comments=3, state=closed, durationTime=65 Days 7 Hours 6 Minutes 48 Seconds}
{comments=3, state=closed, durationTime=16 Days 17 Hours 4 Minutes 10 Seconds}
{comments=3, state=closed, durationTime=17 Days 17 Hours 44 Minutes 49 Seconds}
